coin	thr	W	g	n	net%	PF	worst_bp	2xnet%	retire2x
RUNE	0.0050	12	0.75	4078	+7876	7.43	-712.2	+6844	-1424
RUNE	0.0100	1	0.75	4251	+8402	7.31	-1440.6	+7174	-2881
RUNE	0.0100	2	0.20	5118	+9288	16.74	-634.9	+7758	-1269
RUNE	0.0100	4	0.20	4934	+9235	19.29	-795.9	+7762	-1591
RUNE	0.0100	12	0.75	3574	+6870	6.41	-1519.4	+5897	-3038
SAND	0.0050	1	0.75	5594	+8599	7.78	-1184.5	+7162	-2369
SAND	0.0050	2	0.20	5597	+9153	20.26	-589.6	+7475	-1179
SAND	0.0050	4	0.20	5580	+9096	21.36	-793.3	+7423	-1586
SAND	0.0050	12	0.20	4034	+6303	17.65	-793.3	+5103	-1586
SAND	0.0100	1	0.20	4147	+6916	17.67	-752.2	+5678	-1504
SAND	0.0100	2	0.20	4822	+7903	17.62	-793.3	+6452	-1586
SAND	0.0100	4	0.20	4855	+8093	21.05	-793.3	+6644	-1586
SAND	0.0100	12	0.20	3573	+5656	17.17	-793.3	+4589	-1586
SOL	0.0050	1	0.75	9116	+15402	6.93	-830.9	+13021	-1661
SOL	0.0050	2	0.75	9527	+17753	7.96	-1225.3	+15172	-2450
SOL	0.0050	4	0.20	9594	+18205	18.55	-879.8	+15342	-1759
SOL	0.0050	12	0.20	6761	+13574	19.41	-1333.8	+11564	-2667
SOL	0.0100	1	0.20	7566	+14070	15.46	-830.9	+11811	-1661
SOL	0.0100	2	0.20	8391	+15949	17.36	-879.8	+13447	-1759
SOL	0.0100	4	0.20	8368	+16597	18.57	-879.8	+14098	-1759
SOL	0.0100	12	0.20	5879	+12041	20.22	-1333.8	+10292	-2667
SUI	0.0050	1	0.20	5144	+8810	15.13	-545.5	+7274	-1091
SUI	0.0050	2	0.20	5263	+9739	17.11	-543.2	+8171	-1086
SUI	0.0050	4	0.20	5352	+10414	18.25	-1261.5	+8816	-2523
SUI	0.0050	12	0.20	3750	+7759	18.88	-1547.6	+6641	-3095
SUI	0.0100	1	0.20	4302	+8301	15.77	-1118.1	+7014	-2236
SUI	0.0100	2	0.20	4826	+9908	17.24	-1114.2	+8468	-2228
SUI	0.0100	4	0.20	4677	+9311	17.96	-1084.1	+7909	-2168
SUI	0.0100	12	0.75	3346	+7135	7.35	-1547.6	+6270	-3095
SUSHI	0.0050	1	0.20	5819	+8454	12.54	-986.7	+6717	-1973
SUSHI	0.0050	2	0.20	5997	+9527	14.18	-954.0	+7733	-1908
SUSHI	0.0050	4	0.20	5888	+10130	16.09	-854.3	+8365	-1708
SUSHI	0.0050	12	0.20	4362	+7251	16.81	-543.6	+5945	-1087
SUSHI	0.0100	1	0.20	4636	+7646	13.59	-854.3	+6258	-1708
SUSHI	0.0100	2	0.20	5275	+8805	14.62	-854.3	+7223	-1708
SUSHI	0.0100	4	0.20	5219	+9110	16.57	-722.8	+7544	-1445
SUSHI	0.0100	12	0.20	3771	+6107	15.20	-700.9	+4981	-1401
THETA	0.0050	1	0.75	5683	+9413	7.31	-845.0	+7921	-1690
THETA	0.0050	2	0.75	5875	+10147	7.84	-845.0	+8577	-1690
THETA	0.0050	4	0.75	5753	+10400	8.25	-913.5	+8805	-1827
THETA	0.0050	12	0.20	4298	+7163	17.13	-1055.6	+5871	-2111
THETA	0.0100	1	0.20	4599	+7649	15.08	-742.4	+6270	-1484
THETA	0.0100	2	0.75	4988	+8916	7.21	-855.4	+7518	-1710
THETA	0.0100	4	0.20	5004	+8537	16.80	-913.5	+7041	-1827
THETA	0.0100	12	0.20	3774	+6096	15.97	-1055.6	+4962	-2111
TIA	0.0050	1	0.20	4583	+8161	11.28	-1409.7	+6793	-2819
TIA	0.0050	2	0.20	4738	+8827	12.78	-991.1	+7415	-1982
TIA	0.0050	4	0.20	4733	+9600	15.26	-817.3	+8182	-1634
TIA	0.0050	12	0.20	3388	+6618	15.54	-571.3	+5602	-1142
TIA	0.0100	1	0.20	4229	+8218	13.11	-1409.7	+6955	-2819
TIA	0.0100	2	0.20	4495	+8686	14.21	-515.4	+7354	-1030
TIA	0.0100	4	0.20	4246	+8707	15.21	-817.3	+7436	-1634
TIA	0.0100	12	0.20	3089	+6054	15.45	-571.3	+5127	-1142
TRX	0.0050	1	0.75	5662	+7385	7.33	-567.8	+5730	-1135
TRX	0.0050	2	0.75	6785	+9140	8.05	-635.8	+7079	-1271
TRX	0.0050	4	0.75	6972	+9265	7.92	-1031.5	+7276	-2063
TRX	0.0050	12	0.75	5171	+6926	7.19	-497.4	+5501	-994
TRX	0.0100	1	0.20	3139	+5172	19.22	-368.5	+4231	-737
TRX	0.0100	2	0.20	4099	+6478	18.32	-591.5	+5252	-1183
TRX	0.0100	4	0.75	4703	+7524	7.31	-1031.5	+6148	-2063
TRX	0.0100	12	0.75	4077	+6324	7.48	-525.2	+5101	-1050
UNI	0.0050	1	0.20	9136	+15572	14.37	-952.3	+12826	-1904
UNI	0.0050	2	0.75	9276	+17673	8.59	-830.5	+14987	-1661
UNI	0.0050	4	0.20	9459	+17343	17.73	-819.4	+14496	-1638
UNI	0.0050	12	0.20	6681	+11296	15.81	-779.4	+9306	-1558
UNI	0.0100	1	0.20	7611	+13966	15.19	-952.3	+11694	-1904
UNI	0.0100	2	0.20	8428	+15631	15.54	-779.4	+13115	-1558
UNI	0.0100	4	0.20	8372	+15339	17.65	-551.3	+12836	-1102
UNI	0.0100	12	0.20	5980	+10352	15.74	-779.4	+8567	-1558
VET	0.0050	1	0.20	5368	+7283	13.56	-804.1	+5684	-1608
VET	0.0050	2	0.20	5466	+7951	15.82	-804.1	+6316	-1608
VET	0.0050	4	0.20	5405	+8321	16.02	-817.8	+6714	-1635
VET	0.0050	12	0.20	4009	+5600	14.90	-1213.3	+4396	-2426
VET	0.0100	1	0.20	3987	+6005	13.92	-804.1	+4810	-1608
VET	0.0100	2	0.20	4567	+7059	15.23	-804.1	+5704	-1608
VET	0.0100	4	0.20	4672	+7558	15.85	-797.2	+6151	-1594
VET	0.0100	12	0.20	3452	+4935	15.26	-1152.0	+3902	-2304
XRP	0.0050	1	0.75	7809	+10789	6.41	-956.2	+8785	-1912
XRP	0.0050	2	0.75	8295	+12224	7.07	-1579.2	+9994	-3158
XRP	0.0050	4	0.75	8187	+13162	7.63	-944.8	+10854	-1889
XRP	0.0050	12	0.75	5781	+10128	7.05	-841.5	+8441	-1683
XRP	0.0100	1	0.75	5371	+8822	6.15	-761.0	+7349	-1522
XRP	0.0100	2	0.20	6511	+10178	15.91	-1002.0	+8239	-2004
XRP	0.0100	4	0.20	6804	+10711	17.97	-725.4	+8682	-1450
XRP	0.0100	12	0.75	4880	+8590	6.73	-863.0	+7406	-1726
