# slow-trend daily battery 35 coins x 9 strats, cost 30bp rt (2x=60bp), gate omits y2022, fills=next open
coin   strat          n     net%     PF     H1%     H2%  worst%    y22%   2xnet%   2xPF verdict
OP     TSMOM90       29    -25.4   0.82   +73.8   -99.3   -32.9   +90.7    -34.1   0.77 [fail]
RUNE   DONCH20_10    19   +135.4   1.90  +186.6   -51.1   -25.3    +0.0   +129.7   1.84 [fail]
RUNE   DONCH40_20     8   +112.4   2.88  +144.0   -31.6   -21.2    +0.0   +110.0   2.81 [fail]
RUNE   DONCH55_20     7   +109.8   3.21    +0.0    +0.0   -21.2    +0.0   +107.7   3.12 [fail]
RUNE   MA10_50       17   +121.1   1.69  +148.8   -27.6   -37.4    +0.0   +116.0   1.65 [fail]
RUNE   MA20_100       6   +129.5   4.94    +0.0    +0.0   -23.4    +0.0   +127.7   4.75 [fail]
RUNE   MA50_200       3   +235.2   4.01    +0.0    +0.0   -58.1    +0.0   +234.3   3.97 [fail]
RUNE   TSMOM30       47   +156.4   1.63  +236.1   -79.6   -28.8    +0.0   +142.3   1.55 [fail]
RUNE   TSMOM60       38   +101.3   1.58  +149.8   -48.5   -16.8    +0.0    +89.9   1.49 [fail]
RUNE   TSMOM90       23   +261.7   4.15  +298.3   -36.6   -23.7    +0.0   +254.8   3.92 [fail]
SAND   DONCH20_10    18    -32.2   0.81   -39.8    +7.6   -21.9    +0.0    -37.6   0.79 [fail]
SAND   DONCH40_20     5    +78.0   2.37    +0.0    +0.0   -21.6    +0.0    +76.5   2.32 [fail]
SAND   DONCH55_20     3   +102.6   6.22    +0.0    +0.0   -19.7    +0.0   +101.7   6.09 [fail]
SAND   MA10_50       19    +20.2   1.13   +15.4    +4.8   -24.8    +0.0    +14.5   1.09 [fail]
SAND   MA20_100       7    -45.6   0.28    +0.0    +0.0   -20.7    +0.0    -47.7   0.27 [fail]
SAND   MA50_200       3    -91.2   0.00    +0.0    +0.0   -51.7    +0.0    -92.1   0.00 [fail]
