=== FIDELITY: X(gates off) vs LIVE header ===
  BTC   n=3876/3876 real=-74563.42/-74563.42 OK
  ETH   n=5115/5115 real=-96789.28/-96789.28 OK
  SOL   n=6874/6874 real=-135158.13/-135158.13 OK
  BNB   n=4845/4845 real=-87025.92/-87025.92 OK
  ADA   n=6077/6077 real=-117792.32/-117792.32 OK
  TRX   n=3594/3594 real=-51738.23/-51738.23 OK
  DOGE  n=6279/6279 real=-122029.78/-122029.78 OK
  NEAR  n=7110/7110 real=-206898.94/-206898.94 OK
  AAVE  n=6969/6969 real=-139327.75/-139327.75 OK
  OP    n=5183/5183 real=-101183.48/-101183.48 OK

=== ADA incident replication (live ledger: ENGINE_EXIT real=-122.12 x2 @1783378800000) ===

=== SWEEP — REAL column (net = worse-of fill - 20bp RT); model shown for reference ===
variant         coin       n   netREAL    model     PF       H1       H2     bull     bear    worst    neg  all6
b:expand=4      SOL     6843 -134754.8 477498.5   0.73 -55194.2 -79560.6 -53715.2 -81039.6  -1272.1   5331  fail
b:expand=4      BNB     4756  -84379.2 256816.8   0.69 -35615.5 -48763.7 -37114.7 -47264.5   -728.3   3750  fail
b:expand=4      ADA     6006 -116195.1 380638.1   0.71 -66463.7 -49731.5 -24569.5 -91625.6   -701.4   4777  fail
b:expand=4      TRX     3537  -51937.3 209677.0   0.74 -35957.1 -15980.2 -22997.1 -28940.2   -586.4   2782  fail
b:expand=4      DOGE    6205 -120246.0 471859.4   0.74 -42875.5 -77370.5 -68147.7 -52098.3  -1055.1   4945  fail
b:expand=4      NEAR    7075 -206126.1 510657.7   0.65 -128860.3 -77265.7 -52790.0 -153336.1  -1164.1   5464  fail
b:expand=4      AAVE    6923 -138805.4 492388.4   0.73 -69177.5 -69627.9 -50573.0 -88232.4  -1172.8   5333  fail
b:expand=4      OP      5151 -100723.0 363928.7   0.73 -53813.1 -46909.9 -22097.3 -78625.7   -805.2   4009  fail
b:expand=4      ALL    55294 -1119745.0 3582630.0   0.71 -567507.5 -552237.4 -387032.0 -732713.0  -1272.1  43388  fail   <-- ROSTER

b:expand=6      BTC     3779  -72144.9 158787.4   0.62 -40627.0 -31518.0 -21550.4 -50594.5   -437.5   3044  fail
b:expand=6      ETH     5043  -94366.1 261826.4   0.68 -51735.5 -42630.6 -33664.9 -60701.1   -750.7   3973  fail
b:expand=6      SOL     6858 -135267.3 477886.6   0.73 -55381.4 -79885.8 -54025.7 -81241.6  -1272.1   5344  fail
b:expand=6      BNB     4768  -83957.9 257530.5   0.70 -35009.3 -48948.6 -37102.4 -46855.5   -728.3   3759  fail
b:expand=6      ADA     6029 -117270.1 381169.9   0.71 -66840.2 -50429.9 -24634.0 -92636.1   -701.4   4797  fail
b:expand=6      TRX     3544  -52170.8 209825.6   0.74 -36412.9 -15757.9 -23086.3 -29084.4   -586.4   2789  fail
b:expand=6      DOGE    6222 -120254.7 472522.5   0.74 -42931.9 -77322.8 -68257.4 -51997.4  -1055.1   4961  fail
b:expand=6      NEAR    7091 -206535.0 511412.9   0.65 -129524.4 -77010.6 -52721.6 -153813.4  -1164.1   5477  fail
b:expand=6      AAVE    6946 -139269.6 493003.9   0.73 -69519.1 -69750.4 -50656.4 -88613.1  -1172.8   5355  fail
b:expand=6      OP      5163 -101440.7 363985.3   0.73 -53709.9 -47730.8 -22288.4 -79152.2   -805.2   4021  fail
b:expand=6      ALL    55443 -1122676.9 3587951.0   0.71 -569526.3 -553150.6 -387987.7 -734689.3  -1272.1  43520  fail   <-- ROSTER

c:maxgb=20%     BTC     3840  -74255.5 159667.7   0.62 -40415.2 -33840.2 -22433.3 -51822.2   -437.5   3098  fail
c:maxgb=20%     ETH     5079  -96193.2 261507.5   0.68 -53131.3 -43061.9 -33971.9 -62221.2   -750.7   4011  fail
c:maxgb=20%     SOL     6852 -134777.9 477653.2   0.73 -54958.4 -79819.5 -54500.6 -80277.3  -1272.1   5341  fail
c:maxgb=20%     BNB     4799  -86130.4 256962.2   0.69 -36936.5 -49193.9 -38412.7 -47717.8   -728.3   3789  fail
c:maxgb=20%     ADA     6051 -117505.0 381863.7   0.71 -67258.7 -50246.2 -24840.7 -92664.3   -701.4   4818  fail
c:maxgb=20%     TRX     3564  -50623.4 211924.9   0.75 -32747.4 -17876.0 -22746.4 -27877.0   -586.4   2802  fail
c:maxgb=20%     DOGE    6245 -121220.2 472061.8   0.74 -43655.9 -77564.3 -68001.4 -53218.8  -1055.1   4986  fail
c:maxgb=20%     NEAR    7090 -206458.9 510994.0   0.65 -129534.2 -76924.7 -52372.9 -154086.0  -1164.1   5477  fail
c:maxgb=20%     AAVE    6940 -138008.8 493108.4   0.73 -69539.0 -68469.7 -50469.1 -87539.7  -1172.8   5345  fail
c:maxgb=20%     OP      5167 -101881.3 363723.6   0.73 -54498.4 -47382.9 -22475.5 -79405.8   -805.2   4026  fail
c:maxgb=20%     ALL    55627 -1127054.6 3589466.9   0.71 -573566.7 -553487.8 -390224.5 -736830.0  -1272.1  43693  fail   <-- ROSTER

c:maxgb=30%     BTC     3852  -73721.1 160437.4   0.62 -40103.1 -33618.1 -22575.3 -51145.8   -437.5   3107  fail
c:maxgb=30%     ETH     5101  -97119.5 262053.6   0.68 -53206.2 -43913.3 -34827.6 -62292.0   -750.7   4031  fail
c:maxgb=30%     SOL     6859 -134008.7 478731.4   0.73 -55047.5 -78961.2 -54049.2 -79959.5  -1272.1   5343  fail
c:maxgb=30%     BNB     4824  -86991.8 257893.4   0.69 -37031.8 -49960.0 -39290.2 -47701.6   -728.3   3808  fail
c:maxgb=30%     ADA     6058 -116786.0 382480.1   0.71 -66691.4 -50094.6 -24080.9 -92705.1   -701.4   4822  fail
c:maxgb=30%     TRX     3580  -51105.2 212014.3   0.75 -33012.4 -18092.9 -22849.6 -28255.7   -586.4   2818  fail
c:maxgb=30%     DOGE    6263 -121419.3 472950.3   0.74 -43679.6 -77739.7 -68509.2 -52910.1  -1055.1   5000  fail
c:maxgb=30%     NEAR    7098 -206456.3 511611.6   0.65 -129599.2 -76857.1 -52249.3 -154207.0  -1164.1   5483  fail
c:maxgb=30%     AAVE    6956 -138611.8 493808.8   0.73 -69377.2 -69234.6 -50366.0 -88245.8  -1172.8   5361  fail
c:maxgb=30%     OP      5173 -101007.3 364904.2   0.73 -53590.4 -47416.9 -22082.9 -78924.4   -805.2   4028  fail
c:maxgb=30%     ALL    55764 -1127227.1 3596885.2   0.71 -573655.8 -553571.2 -390880.0 -736347.0  -1272.1  43801  fail   <-- ROSTER

c:maxgb=50%     BTC     3873  -74529.6 160815.9   0.62 -40300.2 -34229.4 -22895.1 -51634.5   -437.5   3127  fail
c:maxgb=50%     ETH     5112  -96801.0 262957.2   0.68 -53047.7 -43753.3 -34730.8 -62070.1   -750.7   4038  fail
c:maxgb=50%     SOL     6874 -135158.1 478731.4   0.73 -55543.2 -79614.9 -54547.4 -80610.8  -1272.1   5358  fail
c:maxgb=50%     BNB     4843  -87034.2 258940.9   0.69 -37198.3 -49835.9 -38899.5 -48134.7   -728.3   3823  fail
c:maxgb=50%     ADA     6076 -117677.1 382671.8   0.71 -66953.0 -50724.2 -24148.0 -93529.1   -701.4   4839  fail
c:maxgb=50%     TRX     3592  -51743.5 212333.3   0.75 -33313.6 -18429.9 -23074.6 -28668.9   -586.4   2828  fail
c:maxgb=50%     DOGE    6275 -121750.0 473527.2   0.74 -43750.8 -77999.2 -68840.0 -52910.0  -1055.1   5012  fail
c:maxgb=50%     NEAR    7104 -206483.7 512198.1   0.65 -129402.0 -77081.7 -52818.7 -153665.1  -1164.1   5487  fail
c:maxgb=50%     AAVE    6968 -139307.0 494142.6   0.73 -69749.0 -69558.0 -50701.5 -88605.6  -1172.8   5372  fail
c:maxgb=50%     OP      5182 -101143.5 365281.7   0.73 -54115.8 -47027.7 -22151.1 -78992.4   -805.2   4036  fail
c:maxgb=50%     ALL    55899 -1131627.8 3601600.1   0.71 -571576.0 -560051.8 -392806.6 -738821.1  -1272.1  43920  fail   <-- ROSTER

s:dropT1        BTC     3480  -60662.9 141739.2   0.68 -36511.5 -24151.4 -13293.3 -47369.7   -437.5   2980  fail
s:dropT1        ETH     4630  -81351.3 231754.0   0.72 -48403.2 -32948.1 -26077.9 -55273.4   -750.7   3872  fail
s:dropT1        SOL     6326 -120679.2 411476.4   0.75 -58047.5 -62631.8 -43253.3 -77425.9  -1272.1   5154  fail
s:dropT1        BNB     4436  -78362.7 222233.1   0.72 -32155.9 -46206.8 -35493.0 -42869.7   -728.3   3698  fail
s:dropT1        ADA     5610 -105506.1 327198.8   0.73 -63728.5 -41777.6 -14083.2 -91422.9   -528.8   4724  fail
s:dropT1        TRX     3232  -37297.0 187024.5   0.81 -28607.9  -8689.1 -18689.5 -18607.5   -586.4   2658  fail
s:dropT1        DOGE    5868 -112669.3 418638.6   0.76 -35413.6 -77255.7 -69239.9 -43429.4  -1055.1   4920  fail
s:dropT1        NEAR    6636 -195394.0 433060.4   0.66 -121227.1 -74166.9 -47011.2 -148382.8  -1164.1   5342  fail
s:dropT1        AAVE    6462 -132595.9 414933.7   0.73 -64903.4 -67692.5 -50855.8 -81740.2  -1172.8   5214  fail
s:dropT1        OP      4834  -96869.6 310359.0   0.74 -53202.0 -43667.6 -20146.1 -76723.5   -805.2   3932  fail
s:dropT1        ALL    51514 -1021388.1 3098417.7   0.73 -525803.3 -495584.8 -338143.2 -683244.9  -1272.1  42494  fail   <-- ROSTER

s:trail300      BTC     3318  -58450.4 132833.8   0.68 -38210.1 -20240.3 -12085.2 -46365.2   -437.5   2860  fail
s:trail300      ETH     4504  -78862.6 224094.9   0.73 -45803.7 -33058.9 -22347.7 -56514.9   -750.7   3796  fail
