INJ SWEET-SPOT VALIDATION SWEEP — 2026-07-14
Replicates S-2026-07-13 methodology (ChimeraCrypto ec810117) for INJUSDT (never swept).
Tool: upjump_earlyarm_bt confirmcut/confirmrand (binary of 2026-07-13, driven from /Users/jo/Crypto/backtest)
Data: data/INJUSDT_1h.csv — Binance public klines, 30,968 bars 2023-01-01..2026-07-14 UTC,
      close range $1.253-$52.38, 0 gaps >2h (fetched this session).
Grid: W in {1,2,3,4,6,8,12,24}h x thr in {0.5..8.0 step 0.5}% = 128 cells.
Cell config: confirm=20bp, CC_RT=20bp, CC_CUT=50bp, CC_FROMYEAR=2023, BE-N6 arms {0.2,2,3,4,6,8}.
Gate stack: net>0, PF>=1.3, n>=30, H1>0 AND H2>0, exbestEpi>0; then plateau (thr+/-0.5%),
            2x-cost re-sim (RT=40: net>0, PF>=1.2ish), confirmrand 20-seed z>=2.

FULL GRID (columns after win= : confirm | n net% PF worst_bp | nRev sumRev% | nNeg sumNeg% | nvrOpen | H1% H2% | y2022% y23-26% | exbestEpi bestEpi%)
W=6  thr=6.5% win=109       20bp |   395      -184   0.69   -582.2 |   181    -375.6 |   305    -603.5 |    259 |      -188        +3 |       +0       -184 |      -313     +129
W=6  thr=7.0% win=80        20bp |   280      -243   0.50   -641.1 |   147    -311.8 |   235    -484.4 |    200 |      -158       -85 |       +0       -243 |      -372     +129
W=6  thr=7.5% win=59        20bp |   206      -174   0.51   -641.1 |    98    -223.4 |   168    -354.5 |    148 |      -158       -16 |       +0       -174 |      -303     +129
W=6  thr=8.0% win=52        20bp |   180      -140   0.56   -709.4 |    83    -198.1 |   145    -318.8 |    132 |      -146        +6 |       +0       -140 |      -269     +129
W=8  thr=0.5% win=1698      20bp |  4291     -1112   0.77   -941.8 |  1391   -2571.4 |  3140   -4748.7 |   5897 |      -706      -406 |       +0      -1112 |     -1250     +139
W=8  thr=1.0% win=1291      20bp |  3533      -675   0.83   -941.8 |  1228   -2240.8 |  2555   -3970.0 |   4213 |      -465      -211 |       +0       -675 |      -786     +111
W=8  thr=1.5% win=1019      20bp |  2975      -719   0.79   -941.8 |  1102   -2052.3 |  2182   -3506.3 |   3139 |      -467      -253 |       +0       -719 |      -814      +95
W=8  thr=2.0% win=817       20bp |  2497      -425   0.86   -941.8 |   969   -1790.6 |  1822   -3012.8 |   2405 |      -290      -134 |       +0       -425 |      -577     +153
W=8  thr=2.5% win=650       20bp |  2048      -138   0.95   -941.8 |   803   -1516.9 |  1475   -2574.9 |   1852 |      -188       +50 |       +0       -138 |      -264     +127
W=8  thr=3.0% win=532       20bp |  1738       +47   1.02   -941.8 |   707   -1411.5 |  1257   -2299.8 |   1454 |      -240      +287 |       +0        +47 |       -99     +146
W=8  thr=3.5% win=443       20bp |  1425       -89   0.95  -1093.3 |   608   -1194.4 |  1046   -1932.9 |   1233 |      -279      +190 |       +0        -89 |      -223     +134
W=8  thr=4.0% win=354       20bp |  1151       -28   0.98  -1093.3 |   497    -989.6 |   849   -1556.2 |    973 |      -132      +104 |       +0        -28 |      -154     +125
