date,open,high,low,close,volume
2024-05-19,8.605000,8.606000,8.158000,8.206000,1062725.84
2024-05-20,8.205000,8.962000,8.107000,8.920000,2924601.35
2024-05-21,8.919000,9.041000,8.700000,8.785000,2822350.74
2024-05-22,8.785000,8.830000,8.452000,8.561000,2279363.12
2024-05-23,8.561000,8.641000,8.011000,8.361000,3224518.75
2024-05-24,8.358000,8.492000,8.196000,8.460000,1268435.20
2024-05-25,8.461000,8.543000,8.418000,8.491000,755991.09
2024-05-26,8.493000,8.511000,8.278000,8.404000,1027230.76
2024-05-27,8.404000,8.734000,8.390000,8.695000,1421907.77
2024-05-28,8.697000,8.838000,8.459000,8.722000,2164630.22
2024-05-29,8.722000,8.911000,8.619000,8.637000,2387217.26
2024-05-30,8.637000,8.726000,8.394000,8.540000,1531035.37
2024-05-31,8.541000,8.542000,8.242000,8.300000,1116070.05
2024-06-01,8.299000,8.379000,8.256000,8.326000,637535.43
2024-06-02,8.324000,8.400000,8.171000,8.292000,942557.45
2024-06-03,8.295000,8.498000,8.242000,8.339000,1190069.19
2024-06-04,8.340000,8.545000,8.288000,8.538000,1120073.92
2024-06-05,8.539000,8.738000,8.494000,8.692000,1230124.64
2024-06-06,8.693000,8.809000,8.569000,8.617000,1514247.32
2024-06-07,8.617000,8.708000,7.500000,8.102000,3609416.11
2024-06-08,8.102000,8.123000,7.716000,7.757000,1887973.15
2024-06-09,7.757000,8.350000,7.726000,7.880000,1419071.35
2024-06-10,7.880000,7.928000,7.716000,7.855000,1417401.44
2024-06-11,7.855000,7.864000,7.373000,7.517000,2381580.34
2024-06-12,7.517000,7.892000,7.405000,7.775000,1682582.18
2024-06-13,7.775000,7.799000,7.345000,7.441000,1759285.69
2024-06-14,7.442000,7.505000,6.951000,7.115000,2287337.87
2024-06-15,7.113000,7.215000,7.091000,7.142000,812946.35
2024-06-16,7.144000,7.252000,7.049000,7.222000,600233.45
2024-06-17,7.223000,7.244000,6.750000,6.997000,2073491.21
2024-06-18,6.997000,7.022000,6.202000,6.688000,4139698.27
2024-06-19,6.689000,6.964000,6.639000,6.894000,1541986.51
2024-06-20,6.895000,7.117000,6.817000,6.837000,1513490.07
2024-06-21,6.839000,6.933000,6.755000,6.787000,1200186.36
2024-06-22,6.788000,6.808000,6.715000,6.744000,630433.80
2024-06-23,6.744000,6.846000,6.615000,6.695000,863945.62
2024-06-24,6.694000,6.863000,6.364000,6.838000,2064243.44
2024-06-25,6.839000,7.046000,6.827000,6.940000,1375420.84
2024-06-26,6.940000,6.982000,6.736000,6.791000,1127984.98
2024-06-27,6.792000,7.112000,6.719000,6.965000,1287082.31
2024-06-28,6.965000,7.025000,6.723000,6.729000,1166253.17
2024-06-29,6.730000,6.891000,6.587000,6.607000,1049464.35
2024-06-30,6.607000,6.749000,6.550000,6.733000,991175.56
2024-07-01,6.735000,6.849000,6.690000,6.813000,933686.21
2024-07-02,6.813000,6.978000,6.782000,6.813000,1399794.38
